Column-0,MANDT,BNAME,BCODE,GLTGV,GLTGB,USTYP,CLASS,LOCNT,UFLAG,ACCNT,ANAME,ERDAT,TRDAT,LTIME,OCOD1,BCDA1,CODV1,OCOD2,BCDA2,CODV2,OCOD3,BCDA3
unchecked,400,RAJU,0,00.00.0000,00.00.0000,A,,0,0,,SRPUSER,01.06.2022,17.07.2022,10:53:19,0,00.00.0000,,0,00.00.0000,,0,00.00.0000
unchecked,400,S4C!12,0,00.00.0000,00.00.0000,A,,1,0,,SAP*,26.09.2022,20.11.2022,9:43:38,0,00.00.0000,,0,00.00.0000,,0,00.00.0000
unchecked,400,S4TEST12,0,00.00.0000,00.00.0000,A,,0,0,,SRPUSER,16.07.2022,26.08.2022,10:46:08,0,00.00.0000,,0,00.00.0000,,0,00.00.0000
unchecked,400,S4TEST4,0,00.00.0000,00.00.0000,A,,0,0,,SRPUSER,16.07.2022,29.08.2022,11:25:23,0,00.00.0000,,0,00.00.0000,,0,00.00.0000
unchecked,400,S4TEST9,0,00.00.0000,00.00.0000,A,,0,0,,SRPUSER,16.07.2022,11.08.2022,9:47:02,0,00.00.0000,,0,00.00.0000,,0,00.00.0000
unchecked,400,TMSADM,0,00.00.0000,00.00.0000,B,,0,0,,DDIC,16.10.2021,19.11.2021,16:47:30,0,00.00.0000,,0,00.00.0000,,0,00.00.0000
